property_type,area_m2,frontage_m,road_width_m,district,district_code,price_million_vnd,price_per_m2_million,source,url
land,75.0,6.41,2.5,Thanh Khe,2,4200.0,56.0,alonhadat_land_list,https://alonhadat.com.vn/-ban-dat-tang-nha-cap-4-kiet-duong-tran-cao-van-dt-75-3m-ngang-6-41m-nhinh-4-ty--18642296.html
land,83.0,5.0,5.0,Son Tra,3,11000.0,132.53,alonhadat_land_list,https://alonhadat.com.vn/giam-2-ty-ban-nhanh-lo-dat-2-mat-tien-k-nguyen-van-thoai-83m2-ngang-5m-loi-pho-tay-18650966.html
land,400.0,20.0,7.5,Son Tra,3,92000.0,230.0,alonhadat_land_list,https://alonhadat.com.vn/trung-tam-son-tra-quy-dat-hiem-phuoc-truong-sat-bien-my-khe-ngang-20m-hiem-co-92-ty--18669031.html
land,90.0,5.0,7.5,Ngu Hanh Son,4,8900.0,98.89,alonhadat_land_list,https://alonhadat.com.vn/tich-san-ban-lo-dat-dep-ngay-trung-tam-thuong-mai-pho-bien-my-khe-90m2-ngang-5m-18654427.html
land,115.0,5.0,7.5,Hai Chau,1,11600.0,100.87,alonhadat_land_list,https://alonhadat.com.vn/cam-ket-gia-sap-ham-tai-duong-7-5m-han-thuyen-4-tang-115m2-ngang-5m-xiu-11-x-ty-tl-18667069.html
land,120.0,5.0,7.5,Cam Le,6,8050.0,67.08,alonhadat_land_list,https://alonhadat.com.vn/gia-nhu-nam-2024-mat-pho-duong-7-5m-khue-trung-125m2-ngang-5m-chi-nhinh-8-ty-tl-18668475.html
land,510.0,5.0,5.0,Hoa Vang,7,4600.0,9.02,alonhadat_land_list,https://alonhadat.com.vn/-sieu-pham-dau-tu-block-4-lo-dat-o-view-dep-tai-hoa-tien-da-nang--18668915.html
land,115.0,5.0,7.5,Cam Le,6,5000.0,43.48,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/mo-nen-vo-chi-cong-cua-tap-doan-sun-group-115m2-voi-43tr-m2-dep-sang-ten-ngay-es3195511
land,100.0,5.0,7.5,Cam Le,6,5800.0,58.0,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/lo-mat-tien-ubnd-phuong-hoa-xuan-duong-7-5m-4m-dien-tich-100m2-es3204642
land,198.0,5.0,7.5,Hoa Vang,7,1980.0,10.0,homedy_land_list,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/vip-mat-tien-duong-nhua-7-5m-lo-o-phu-son2-cach-quoc-14b-200m-chi-1-9x-ty-lh-0794782599-es3204272
land,80.0,5.0,7.5,Cam Le,6,2300.0,28.75,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/cuc-hiem-lo-80m2-kiet-o-to-hoa-tho-tay-chi-23-ty-es3205206
land,283.0,5.0,10.0,Hoa Vang,7,1690.0,5.97,homedy_land_list,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/283m-duong-nhua-10m5-ngay-truc-nui-than-tai-phu-thanh-es3204959
land,100.0,5.0,5.5,Cam Le,6,5350.0,53.5,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/trung-tam-kdt-hoa-xuan-100m2-520-gan-cho-nhinh-5-ty-es3204274
land,100.0,5.0,7.5,Thanh Khe,2,3700.0,37.0,homedy_land_list,https://homedy.com/ban-dat-quan-thanh-khe-da-nang/lo-gan-ton-dan-rong-dep-gia-tot-nhat-chua-qua-dau-tu-es3204270
